15,0
0,15
30,15
15,0
15,0
45,15
0,0
45,45
0,15
0,0
30,0
0,15
15,135
45,60
75,90
15,15
15,15
15,15
60,15
15,0
150,15
15,0
15,45
30,15
15,0
0,15
30,30
15,0
30,15
15,15
0,15
15,0
15,0
15,15
45,45
0,45
15,15
30,45
15,15
15,15
15,15
15,45
45,45
45,15
105,150
30,45
45,15
45,45
45,0
0,45
165,120
60,90
135,105
270,300
15,15
255,270
105,30
330,225
30,30
90,105
0,0
30,120
0,30
210,225
45,30
0,0
45,60
0,30
75,60
120,105
30,15
15,30
120,120
105,30
30,0
0,45
15,0
0,0
0,15
30,45
15,15
30,15
0,15
75,30
45,60
0,15
0,0
45,15
15,15
15,15
0,15
15,0
120,30
105,45
30,0
0,15
15,15
